timestamp,752bc
"1/8/2022, 9:51:19 AM",111
"1/8/2022, 9:51:04 AM",111
"1/8/2022, 9:50:49 AM",112
"1/8/2022, 9:50:34 AM",112
"1/8/2022, 9:50:19 AM",112
"1/8/2022, 9:50:04 AM",112
"1/8/2022, 9:49:49 AM",112
"1/8/2022, 9:49:33 AM",112
"1/8/2022, 9:49:18 AM",112
"1/8/2022, 9:49:03 AM",112
"1/8/2022, 9:48:48 AM",112
"1/8/2022, 9:48:33 AM",111
"1/8/2022, 9:48:18 AM",112
"1/8/2022, 9:48:03 AM",112
"1/8/2022, 9:47:48 AM",112
"1/8/2022, 9:47:33 AM",112
"1/8/2022, 9:47:18 AM",111
"1/8/2022, 9:47:02 AM",112
"1/8/2022, 9:46:47 AM",112
"1/8/2022, 9:46:32 AM",112
"1/8/2022, 9:46:17 AM",111
"1/8/2022, 9:46:02 AM",112
"1/8/2022, 9:45:47 AM",112
"1/8/2022, 9:45:32 AM",118
"1/8/2022, 9:45:17 AM",112
"1/8/2022, 9:45:02 AM",111
"1/8/2022, 9:44:47 AM",112
"1/8/2022, 9:44:32 AM",112
"1/8/2022, 9:44:16 AM",111
"1/8/2022, 9:44:01 AM",112
"1/8/2022, 9:43:46 AM",111
"1/8/2022, 9:43:31 AM",112
"1/8/2022, 9:43:16 AM",111
"1/8/2022, 9:43:01 AM",112
"1/8/2022, 9:42:46 AM",112
"1/8/2022, 9:42:31 AM",112
"1/8/2022, 9:42:16 AM",112
"1/8/2022, 9:42:01 AM",112
"1/8/2022, 9:41:45 AM",111
"1/8/2022, 9:41:30 AM",112
"1/8/2022, 9:41:15 AM",112
"1/8/2022, 9:41:00 AM",118
"1/8/2022, 9:40:45 AM",111
"1/8/2022, 9:40:30 AM",111
"1/8/2022, 9:40:15 AM",112
"1/8/2022, 9:40:00 AM",111
"1/8/2022, 9:39:45 AM",111
"1/8/2022, 9:39:30 AM",112
"1/8/2022, 9:39:14 AM",112
"1/8/2022, 9:38:59 AM",111
"1/8/2022, 9:38:44 AM",112
"1/8/2022, 9:38:29 AM",112
"1/8/2022, 9:38:14 AM",112
"1/8/2022, 9:37:59 AM",112
"1/8/2022, 9:37:44 AM",112
"1/8/2022, 9:37:29 AM",111
"1/8/2022, 9:37:14 AM",112
"1/8/2022, 9:36:59 AM",112
"1/8/2022, 9:36:44 AM",111
"1/8/2022, 9:36:28 AM",111
"1/8/2022, 9:36:13 AM",119
"1/8/2022, 9:35:58 AM",112
"1/8/2022, 9:35:43 AM",112
"1/8/2022, 9:35:28 AM",112
"1/8/2022, 9:35:13 AM",111
"1/8/2022, 9:34:58 AM",111
"1/8/2022, 9:34:43 AM",112
"1/8/2022, 9:34:28 AM",111
"1/8/2022, 9:34:13 AM",112
"1/8/2022, 9:33:58 AM",112
"1/8/2022, 9:33:42 AM",112
"1/8/2022, 9:33:27 AM",112
"1/8/2022, 9:33:12 AM",111
"1/8/2022, 9:32:57 AM",112
"1/8/2022, 9:32:42 AM",111
"1/8/2022, 9:32:27 AM",111
"1/8/2022, 9:32:12 AM",112
"1/8/2022, 9:31:57 AM",112
"1/8/2022, 9:31:42 AM",111
"1/8/2022, 9:31:27 AM",111
"1/8/2022, 9:31:12 AM",111
"1/8/2022, 9:30:56 AM",112
"1/8/2022, 9:30:41 AM",111
"1/8/2022, 9:30:26 AM",112
"1/8/2022, 9:30:11 AM",112
"1/8/2022, 9:29:56 AM",111
"1/8/2022, 9:29:41 AM",112
"1/8/2022, 9:29:26 AM",111
"1/8/2022, 9:29:11 AM",111
"1/8/2022, 9:28:56 AM",111
"1/8/2022, 9:28:41 AM",111
"1/8/2022, 9:28:25 AM",112
"1/8/2022, 9:28:10 AM",111
"1/8/2022, 9:27:55 AM",112
"1/8/2022, 9:27:40 AM",111
"1/8/2022, 9:27:25 AM",111
"1/8/2022, 9:27:10 AM",111
"1/8/2022, 9:26:55 AM",111
"1/8/2022, 9:26:40 AM",111
"1/8/2022, 9:26:25 AM",112
"1/8/2022, 9:26:10 AM",111
"1/8/2022, 9:25:55 AM",112
"1/8/2022, 9:25:39 AM",111
"1/8/2022, 9:25:24 AM",112
"1/8/2022, 9:25:09 AM",111
"1/8/2022, 9:24:54 AM",111
"1/8/2022, 9:24:39 AM",111
"1/8/2022, 9:24:24 AM",111
"1/8/2022, 9:24:09 AM",111
"1/8/2022, 9:23:54 AM",111
"1/8/2022, 9:23:39 AM",111
"1/8/2022, 9:23:24 AM",111
"1/8/2022, 9:23:08 AM",112
"1/8/2022, 9:22:53 AM",111
"1/8/2022, 9:22:38 AM",111
